message_id,Label,Score,Category,ie_extraction
ce97fd05-3d0d-4e6c-b9fd-4c8ecf6d6fc6,5a,NA,assert,"Agreement, Damage, Damage, KnowledgeSharing"
f9ba47ea-6aef-450f-9d56-8486c2d38b11,5b.6a,2.0,follow-up-question.info-request,YesNoQuestion
2eb63755-e786-4fda-ad8e-e9e4328f34c5,6a+,NA,info-request,Damage
a467ecae-10f8-4ebb-896e-e42612fa7e79,7a,NA,assert,"Agreement, Agreement, MakeCommitment, MakeCommitment, Precedence, Precedence"
64d85e13-01b4-4b8d-902a-65955c2e0ea3,6b,3.0,info-provide,"KnowledgeSharing, Meeting"
0476e2e8-6ad5-4673-9f1f-4337564c42da,7b.8a,2.0,follow-up-question.info-request,"Agreement, Meeting, Meeting, Meeting"
ca90eeb7-4d6a-4907-870d-d3b11f114b95,8b,3.0,info-provide,"Meeting, Question"
64e8126b-929e-4dcc-a076-31764932f907,9a,NA,assert,"Agreement, Meeting, Meeting"
76eb6a53-1d72-48d9-a5d8-e916d82e7ac2,9b,1.0,acknowledge,"Enter, MakeCommitment, MakeCommitment"
8e31e138-b149-4f66-ac41-f5468a289c27,10a,NA,action-directive,Agreement
03d68c61-77b0-4521-8f5e-07fc4d525dc5,9b+,3.0,info-provide,"Agreement, Meeting"
b779bc04-0149-4632-a618-8e5424404b65,11a,NA,info-request,"KnowledgeSharing, Meeting, Meeting, PlanLanguage, Question"
b066619a-5f1d-479e-b320-7cb7944f869b,11b,3.0,info-provide,"Damage, Instruction"
3fc8c35b-4f19-4a4a-9f65-5e7e50bcfb96,11c,NA,acknowledge,"Agreement, Agreement"
6a0d3e8f-dc81-4c94-a1d6-d44ac316c87b,12a,NA,action-directive,"Agreement, PlanLanguage, Precedence, Precedence"
0bfac1dd-53ff-46cf-a864-b2392c143265,12a+,NA,commit,
953276ba-5b43-4bfd-8082-cc4065969400,13a,NA,action-directive,
98516cbd-24a1-4de2-89e9-513c9dd72ca7,13b,1.0,accept,Agreement
c397b340-7939-4d12-9e18-4ecc2c4ad182,14a,NA,action-directive,Agreement
1038c62a-25e4-438c-a4a6-77f6565598c4,14b-1,1.0,accept,Agreement
7ddab9c9-7382-4263-8f3f-8604a017e4bf,14b-2.15a,1.0,accept.assert,"Agreement, KnowledgeSharing"
0159a1c4-3c76-4337-87d3-84fbcb62ddff,15b.16a,1.0,accept.assert,Agreement
307559cd-c093-4405-a612-622615468818,17a,NA,action-directive,"ContingentPlan, KnowledgeSharing, MoveTo"
b2278154-ab57-496c-9950-109baecd38cf,18a,NA,"assert,action-directive",
1cb7ec4f-b168-42c4-bc94-12a81ac537aa,17a+,NA,action-directive,
9202a97f-8a7a-4225-95a4-ca2d25a7afd0,19a,NA,commit,MoveTo
24fd43b5-ae67-4edb-bfc0-ffe414c0bddf,19b.20a,1.0,acknowledge.assert,"Agreement, KnowledgeSharing"
